Rnd.,Pick,Player,Pos.,Nationality,Team,School
2,42,Bruce Brown Jr.,SG,United States,Detroit Pistons,Miami (So.)
2,43,SF,Canada,"Denver Nuggets (from L.A. Clippers via Philadelphia and New York,[R][M][S] traded to Orlando)[g]",Maryland (So.),
2,44,PG,Ukraine,Washington Wizards,Olimpija Ljubljana (Slovenia),
2,45,Hamidou Diallo,SG,United States,"Brooklyn Nets (from Milwaukee,[T] traded to Oklahoma City via Charlotte)",Kentucky (Fr.)
2,46,De'Anthony Melton,SG,United States,Houston Rockets (from Miami via Memphis)[P][U],USC (So.)
2,47,Sviatoslav Mykhailiuk,SG,Ukraine,Los Angeles Lakers (from Denver via Utah and Chicago)[V][W],Kansas (Sr.)
2,48,Keita Bates-Diop,SF,United States,Minnesota Timberwolves,Ohio State (Jr.)
2,49,Chimezie Metu,PF,United States,San Antonio Spurs,USC (Jr.)
2,50,Alize Johnson,PF,United States,Indiana Pacers,Missouri State (Sr.)
2,51,PG,United States,"New Orleans Pelicans (from New Orleans via Miami, New Orleans and Chicago)[X][G]",Penn State (So.),
2,52,Vincent Edwards,SF,United States,Utah Jazz (traded to Houston)[h],Purdue (Sr.)
2,53,Devon Hall,SG,United States,Oklahoma City Thunder,Virginia (Sr.)
2,54,Shake Milton,SG,United States,"Dallas Mavericks (from Portland via Denver,[Y][S] traded to Philadelphia)[i]",SMU (Jr.)
2,55,Arnoldas Kulboka,SF,Lithuania,Charlotte Hornets (from Cleveland via Philadelphia and Brooklyn)[Z][L][AA],Orlandina Basket (Italy)[n 4]
2,56,Ray Spalding,PF,United States,Philadelphia 76ers (traded to Dallas)[i],Louisville (Jr.)
2,57,Kevin Hervey,PF,United States,Oklahoma City Thunder (from Boston)[AB],Texas-Arlington (Sr.)
2,58,Thomas Welsh,C,United States,Denver Nuggets (from Golden State)[V],UCLA (Sr.)
2,59,George King,SG,United States,Phoenix Suns (from Toronto)[AC],Colorado (Sr.)
2,60,Kostas Antetokounmpo,SF/PF,Greece,"Philadelphia 76ers (from Houston,[AD] traded to Dallas)[i]",Dayton (Fr.)
